number,clue,answer,direction,date,day,year,person
13,Star in Venus's orbit?,SERENA,down,10/20/2024,Sun,2024,Serena Williams
41,"Six-time U.S. Open champion, familiarly",SERENA,across,10/19/2024,Sat,2024,Serena Williams
17,Wimbledon-winning Williams,SERENA,across,5/1/2024,Wed,2024,Serena Williams
49,Star close to Venus?,SERENA,down,8/11/2023,Fri,2023,Serena Williams
6,Star close to Venus?,SERENA,down,3/5/2023,Sun,2023,Serena Williams
117,One of the Williamses,SERENA,across,8/28/2022,Sun,2022,Serena Williams
6,Tennis star Williams,SERENA,down,5/31/2021,Mon,2021,Serena Williams
75,___ Slam (tennis feat),SERENA,down,3/7/2021,Sun,2021,Serena Williams
28,___ Slam (tennis feat),SERENA,across,11/8/2020,Sun,2020,Serena Williams
88,"The A.P.'s Female Athlete of the Decade for the 2010s, familiarly",SERENA,down,8/23/2020,Sun,2020,Serena Williams
29,___ Slam (sports feat),SERENA,down,11/2/2019,Sat,2019,Serena Williams
24,Venus's tennis doubles partner,SERENA,down,6/18/2018,Mon,2018,Serena Williams
10,First name in women's tennis,SERENA,down,12/20/2017,Wed,2017,Serena Williams
5,One of tennis's Williams sisters,SERENA,down,12/5/2016,Mon,2016,Serena Williams
40,A Williams sister,SERENA,down,5/17/2016,Tue,2016,Serena Williams
51,"Sports Illustrated's 2015 Sportsperson of the Year, to fans",SERENA,across,2/11/2016,Thu,2016,Serena Williams
23,2014 Jennifer Lawrence/Bradley Cooper film,SERENA,down,12/15/2015,Tue,2015,Serena (Film)
57,Court figure Williams,SERENA,across,9/6/2015,Sun,2015,Serena Williams
16,Star close to Venus,SERENA,across,7/11/2015,Sat,2015,Serena Williams
4,One of the Williams sisters,SERENA,down,11/11/2013,Mon,2013,Serena Williams
47,Sister (and occasional rival) of Venus,SERENA,down,4/24/2013,Wed,2013,Serena Williams
4,Venus's sister with a tennis racket,SERENA,down,10/10/2011,Mon,2011,Serena Williams
51,Sister of Venus,SERENA,down,6/16/2011,Thu,2011,Serena Williams
12,Sister of Venus,SERENA,down,1/6/2010,Wed,2010,Serena Williams
18,First name at Wimbledon,SERENA,down,10/4/2009,Sun,2009,Serena Williams
28,Sister who's won the U.S. Open three times,SERENA,across,8/13/2009,Thu,2009,Serena Williams
49,Williams of tennis,SERENA,across,2/15/2009,Sun,2009,Serena Williams
117,"Samantha's cousin on ""Bewitched""",SERENA,across,4/13/2008,Sun,2008,Serena (Character)
45,One of tennis's Williams sisters,SERENA,down,11/12/2007,Mon,2007,Serena Williams
3,Star near Venus?,SERENA,down,8/9/2007,Thu,2007,Serena Williams
63,Venus's sister,SERENA,across,8/16/2006,Wed,2006,Serena Williams
22,One of the Williams sisters,SERENA,down,5/30/2006,Tue,2006,Serena Williams
72,Big name in women's tennis,SERENA,down,1/8/2006,Sun,2006,Serena Williams
6,Williams of tennis,SERENA,down,10/12/2004,Tue,2004,Serena Williams
15,Venus's sister,SERENA,down,4/11/2004,Sun,2004,Serena Williams
27,Rival of Venus,SERENA,across,2/7/2004,Sat,2004,Serena Williams
36,Venus's tennis-playing sister,SERENA,down,11/24/2003,Mon,2003,Serena Williams
12,Venus's sister on the courts,SERENA,down,6/16/2003,Mon,2003,Serena Williams
61,Sister of Venus,SERENA,across,5/6/2000,Sat,2000,Serena Williams
